store,week,brand,sales_,count,price_,prom_,cost_,Hausman
111,46,7,4,21970,2.38,1.0,1.79,2.5539518900343645
111,47,7,7,20290,2.38,1.0,1.79,2.5887733333333336
111,48,7,6,28637,2.58,0.67,1.84,2.6310679611650487
111,1,8,6,25161,3.49,0.0,2.08,3.365775401069519
111,2,8,2,28464,3.49,0.0,2.08,3.3617741935483867
111,3,8,2,28464,3.49,0.0,2.08,3.380632183908046
111,4,8,2,23627,3.49,0.0,2.08,3.3897663551401873
111,5,8,1,23587,3.57,0.0,2.34,3.402571428571429
111,6,8,1,24378,3.49,0.0,2.08,3.377006802721089
111,7,8,4,24174,3.49,0.0,2.08,3.3651660516605166
111,8,8,3,25947,3.34,1.0,2.08,3.255
111,9,8,2,27673,3.34,1.0,2.08,3.238729096989966
111,10,8,5,25523,3.34,0.0,2.08,3.2304605263157895
111,11,8,8,22179,3.34,0.0,2.08,3.236875
111,12,8,3,24038,3.34,0.0,2.23,3.240702479338843
111,13,8,5,25030,3.49,0.0,2.23,3.2992672413793103
111,14,8,4,26358,3.49,0.0,2.23,3.2999159663865547
111,15,8,1,24285,3.49,0.0,2.23,3.2887614678899078
111,16,8,1,24234,3.49,0.0,2.23,3.2943478260869568
111,17,8,1,22435,3.49,0.0,2.32,3.288778280542986
111,18,8,1,21713,3.57,0.0,2.34,3.3048214285714286
111,19,8,1,21830,3.57,0.0,2.34,3.335658536585366
111,20,8,2,23446,3.49,0.0,2.35,3.345397727272727
111,21,8,2,28600,3.49,0.0,2.36,3.3383663366336633
111,22,8,4,22370,3.49,0.0,2.36,3.332063492063492
111,23,8,1,22555,3.57,0.0,2.34,3.3462352941176476
111,24,8,1,22756,3.49,0.0,2.38,3.337222222222223
111,25,8,2,21750,3.79,0.0,2.38,3.612364864864865
111,26,8,2,23271,3.79,0.0,2.37,3.5953703703703708
111,27,8,2,21044,3.79,0.0,2.38,3.5447999999999995
111,28,8,2,22893,3.79,0.0,2.38,3.634631578947368
111,29,8,1,23136,3.79,0.0,2.38,3.651748633879781
111,30,8,2,25689,3.79,0.0,2.38,3.5783854166666664
111,31,8,3,20729,3.79,0.0,2.38,3.543756906077348
111,32,8,3,20316,3.64,0.0,2.38,3.486528925619835
111,33,8,4,25287,3.64,1.0,2.38,3.5199107142857144
111,34,8,6,25055,3.64,1.0,2.38,3.54552
111,35,8,3,22721,4.26,0.67,2.77,3.72786941580756
111,36,8,4,25316,3.78,0.25,2.45,3.7745874587458745
111,37,8,2,21749,3.79,0.0,2.38,3.8041015625000005
111,38,8,6,23280,3.86,0.0,2.91,3.786620111731844
111,39,8,3,21807,3.92,0.67,3.45,3.767558139534884
111,40,8,2,20205,4.04,0.0,2.52,3.80905487804878
111,41,8,2,33887,3.89,0.0,3.18,3.761162227602906
111,42,8,2,19243,5.49,0.0,3.98,4.22042471042471
111,43,8,2,27773,3.79,0.0,2.39,4.13515406162465
111,44,8,3,25910,3.64,1.0,2.39,4.026594594594594
111,45,8,6,26151,3.7,0.83,2.44,3.9491041666666664
111,46,8,13,21970,4.07,0.0,2.76,3.9714669926650363
111,47,8,7,20290,4.17,0.71,2.84,3.97
111,48,8,7,28637,3.64,1.0,2.47,3.8847522935779817
111,1,9,3,25161,3.97,0.0,3.72,3.9701750547045953
111,2,9,8,28464,3.97,0.0,3.72,3.9700804828973846
111,3,9,8,28464,3.97,0.0,3.72,3.9699999999999993
111,4,9,2,23627,3.97,0.0,3.72,3.97
111,5,9,1,23587,3.97,0.0,3.72,3.97
111,6,9,20,24378,3.79,1.0,3.72,3.7938976377952756
111,7,9,6,24174,3.97,0.0,3.72,3.966867469879518
111,8,9,9,25947,3.97,0.0,3.7,3.9700631911532387
111,9,9,6,27673,3.97,0.0,3.7,3.9362372881355934
111,10,9,3,25523,3.97,0.0,3.71,3.927086614173228
111,11,9,7,22179,3.97,0.0,3.71,3.9244665461121158
111,12,9,1,24038,4.01,0.0,3.71,3.9166861598440548
111,13,9,5,25030,3.97,0.0,3.71,3.915317604355717
111,14,9,5,26358,3.97,0.0,3.7,3.9137213114754097
111,15,9,3,24285,3.97,0.0,3.7,3.9266
111,16,9,9,24234,3.79,0.0,3.71,3.7805835543766584
111,17,9,6,22435,3.79,0.0,3.71,3.778619186046511
111,18,9,4,21713,3.97,0.0,3.71,3.9104887218045117
111,19,9,1,21830,3.97,0.0,3.71,3.920336448598131
111,20,9,3,23446,3.97,0.0,3.71,3.9189361702127656
111,21,9,2,28600,3.97,0.0,3.71,3.899573770491803
111,22,9,3,22370,3.97,0.0,3.74,3.89465306122449
111,23,9,3,22555,3.97,0.0,3.74,3.896089965397924
111,24,9,4,22756,3.73,1.0,3.72,3.661139971139971
111,25,9,9,21750,3.73,0.33,3.72,3.6625528455284555
111,26,9,3,23271,3.73,1.0,3.72,3.6591914893617017
111,27,9,2,21044,3.73,1.0,3.72,3.664733096085409
111,28,9,3,22893,4.29,0.0,3.74,4.148879310344828
111,29,9,8,23136,4.29,0.0,3.74,4.202988313856427
111,30,9,3,25689,3.75,1.0,3.71,3.7506162464985997
111,31,9,5,20729,3.75,1.0,3.71,3.75
111,32,9,5,20316,4.02,1.0,3.79,3.9093531468531464
111,33,9,3,25287,4.02,0.67,3.8,3.9049128919860627
111,34,9,9,25055,4.02,1.0,3.79,3.9199558823529412
111,35,9,3,22721,4.02,0.0,3.92,3.930514372163388
111,36,9,4,25316,4.29,0.0,4.12,4.1725812619502864
111,37,9,1,21749,4.01,0.0,3.71,4.180357142857143
111,38,9,8,23280,3.99,1.0,3.86,3.9792570281124497
111,39,9,8,21807,3.99,1.0,3.93,3.9833333333333334
111,40,9,6,20205,3.98,0.0,3.58,3.9772916666666664
111,41,9,6,33887,3.98,0.0,3.58,3.977361516034985
111,42,9,2,19243,4.29,0.0,3.58,4.17510843373494
111,43,9,4,27773,4.29,0.0,3.62,4.187801047120419
111,44,9,1,25910,4.01,0.0,3.71,4.179718004338395
111,45,9,5,26151,4.29,1.0,3.64,4.166459143968871
111,46,9,5,21970,4.29,0.0,3.58,4.1937813211845105
111,47,9,1,20290,4.29,0.0,3.58,4.189178082191781
111,48,9,9,28637,4.29,0.0,3.63,4.19089552238806
111,1,10,2,25161,1.79,0.0,0.9,1.7902794759825327
111,2,10,10,28464,1.75,0.0,0.87,1.795576470588235
111,3,10,10,28464,1.75,0.0,0.87,1.790940032414911
111,4,10,5,23627,1.77,0.0,0.88,1.7833249370277078
111,5,10,8,23587,1.82,0.0,0.91,1.7961273666092947
111,6,10,6,24378,1.82,0.0,0.92,1.7898039215686274
111,7,10,4,24174,1.79,0.0,0.9,1.7909300095877279
111,8,10,6,25947,1.72,0.0,0.85,1.788444639718805
111,9,10,3,27673,1.82,0.0,0.92,1.7943150046598322
111,10,10,7,25523,1.69,0.0,0.9,1.6998414271555997
111,11,10,1,22179,1.69,0.0,0.96,1.6850228310502282
111,12,10,8,24038,1.69,0.0,0.91,1.6823648648648648
111,13,10,5,25030,1.69,0.0,0.86,1.6829086229086228
111,14,10,6,26358,1.69,0.0,0.89,1.691590909090909
111,15,10,6,24285,1.69,0.0,0.87,1.711604278074866
111,16,10,6,24234,1.69,0.0,0.83,1.6806366459627329
111,17,10,3,22435,1.69,0.0,0.83,1.674994110718492
111,18,10,3,21713,1.69,0.0,0.83,1.683713200379867
111,19,10,2,21830,1.69,0.0,0.83,1.6862444444444442
111,20,10,10,23446,1.69,0.0,0.91,1.688409343715239
111,21,10,6,28600,1.69,0.0,0.88,1.6888617021276593
111,22,10,5,22370,1.69,0.0,0.92,1.6897892271662762
111,23,10,6,22555,1.69,0.0,0.92,1.6901002506265665
111,24,10,7,22756,1.69,0.0,0.91,1.6905479452054795
111,25,10,3,21750,1.69,0.0,0.92,1.6906010928961748
